created_at,description,publisher_name,title,video_id,status,contributor,duration,hits_count,plays_count,availability,custom_fields
2015-08-05 05:49:32 UTC,,copy of 8db073df59b31,1,2737d9781ffe5,available,copy of 8db073df59b31,120.728,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-07-24 01:12:22 UTC,,ccamota-root@lexmark.com,15_0d88,3073771ee41e6,available,ccamota-root@lexmark.com,3155.755,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-07-24 00:23:35 UTC,,ccamota-root@lexmark.com,15-6-webinar_5c22,5b134e2848011,available,ccamota-root@lexmark.com,3155.825,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-07-24 01:04:41 UTC,,ccamota-root@lexmark.com,15_7a43,cee131c15bf38,available,ccamota-root@lexmark.com,3155.755,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-08-05 05:44:40 UTC,,copy of 00be22a15c840,5,d3d34632b1294,available,copy of 00be22a15c840,120.705,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-10-07 01:51:49 UTC,,ccamota-root@lexmark.com,amy-wilson_test,241b0abe9b4bd,available,ccamota-root@lexmark.com,11.425,1,2,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-08-12 05:02:20 UTC,,komiping-root@lexmark.com,bmc-video test,987ba2e159809,available,komiping-root@lexmark.com,1768.369,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-11-03 04:06:13 UTC,,ccamota-root@lexmark.com,gt-issue-scrolltext,7242ec8ee41e5,available,ccamota-root@lexmark.com,219.525,2,4,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-07-29 03:30:21 UTC,,ccamota-root@lexmark.com,health-express-web-rebranded,a9a2a84754059,available,ccamota-root@lexmark.com,69.804,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-10-07 04:57:31 UTC,,ccamota-root@lexmark.com,shelby-sims,de358ab2249bf,available,ccamota-root@lexmark.com,16.626,4,6,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
2015-07-30 21:32:51 UTC,,komiping-root@lexmark.com,test video,f21c8f20c903c,available,komiping-root@lexmark.com,30.116,0,0,available,"[{""name""=>""category"", ""value""=>""""}, {""name""=>""date uploaded"", ""value""=>""""}, {""name""=>""instructor_name"", ""value""=>""""}, {""name""=>""jive_video_ID"", ""value""=>""""}, {""name""=>""playlist-enum2"", ""value""=>""""}, {""name""=>""sitemap-url"", ""value""=>""""}, {""name""=>""video-enum"", ""value""=>""""}, {""name""=>""video-non"", ""value""=>""""}]"
